c MST generated by Kruskal's Algorithm using Quick Sort
g 100000 99999
e 34345 69599 12
e 451 60729 12
e 89487 99389 12
e 16404 20934 12
e 51614 89747 12
e 5363 45542 12
e 79425 82439 12
e 16396 28623 12
e 24830 31619 12
e 9054 20501 12
e 16986 28984 12
e 45420 98715 12
e 39617 63097 12
e 17533 40932 12
e 19578 93661 12
e 18134 87200 12
e 46991 86888 12
e 23962 31933 12
e 8136 56374 12
e 49434 76092 12
e 24007 71263 12
e 16326 35659 12
e 11061 14541 12
e 15696 60751 12
e 9716 13208 12
e 12788 13026 12
e 63779 65066 12
e 32431 41003 12
e 11206 59647 12
e 42883 72165 12
e 78224 94827 12
e 43457 76822 12
e 50121 77777 12
e 50131 54135 12
e 20101 61957 12
e 45673 63324 12
e 49121 75570 12
e 89536 93583 12
e 32942 93015 12
e 3777 91102 12
e 6558 35463 12
e 37486 55712 12
e 43415 61323 12
e 98207 98271 12
e 81562 97697 12
e 12208 24960 12
e 14260 46371 12
e 10411 16707 12
e 41238 80195 12
e 86023 97071 12
e 616 51647 12
e 2938 74886 12
e 38680 80396 13
e 9623 65008 13
e 10678 33134 13
e 29244 52303 13
e 20227 28827 13
e 96884 97010 13
e 1434 16003 13
e 29236 91499 13
e 36111 73848 13
e 47601 99651 13
e 72467 99281 13
e 41987 82174 13
e 73878 87170 13
e 47070 83551 13
e 61146 75924 13
e 19373 23706 13
e 37931 65328 13
e 19691 82086 13
e 45254 89033 13
e 28425 67367 13
e 13983 42713 13
e 3308 20356 13
e 11064 76463 13
e 1264 24924 13
e 76876 95224 13
e 11979 88426 13
e 26443 96778 13
e 62407 94880 13
e 35642 84171 13
e 32577 44797 13
e 2150 92387 13
e 54470 58457 13
e 66790 90671 13
e 3550 99443 13
e 9435 13541 13
e 9492 76381 13
e 1941 7337 13
e 10612 53904 13
e 2945 50909 13
e 47080 86265 13
e 22551 48194 13
e 19047 35726 13
e 16230 98897 13
e 16680 43663 13
e 61186 95468 13
e 550 93289 13
e 18060 81183 13
e 36828 92303 13
e 74666 85747 13
e 76065 93329 13
e 38455 93902 13
e 3944 16538 13
e 33680 73395 13
e 41460 53801 13
e 80957 82561 13
e 9018 64764 13
e 20186 57238 13
e 4822 32331 13
e 36385 68246 13
e 64217 86664 13
e 23561 37830 13
e 73839 95499 13
e 18520 49039 13
e 17967 66639 13
e 29264 40188 13
e 77355 90866 13
e 7015 44454 13
e 7094 81948 13
e 16958 45566 13
e 19345 90145 13
e 39893 61143 13
e 47563 70120 13
e 29795 80183 13
e 31414 83557 13
e 36505 71546 13
e 29566 60633 13
e 22917 24105 13
e 32915 63391 13
e 39919 49516 13
e 6708 41744 13
e 157 85177 13
e 50677 51297 13
e 2320 19175 13
e 51560 83345 13
e 23901 59552 13
e 413 88030 13
e 33340 82873 13
e 19257 23690 13
e 62274 97754 14
e 89957 93079 14
e 61389 61697 14
e 24775 28298 14
e 27513 65285 14
e 16045 56842 14
e 52090 54680 14
e 16867 79595 14
e 25362 88734 14
e 13805 69627 14
e 46270 94514 14
e 65463 72473 14
e 25255 33166 14
e 11972 12758 14
e 11113 60853 14
e 39437 50456 14
e 47707 74375 14
e 29427 53993 14
e 32432 44896 14
e 3890 75825 14
e 49233 95931 14
e 8769 44894 14
e 34099 92424 14
e 28347 60936 14
e 1659 75988 14
e 59658 75998 14
e 14967 16567 14
e 134 13299 14
e 4706 14394 14
e 22400 89460 14
e 22426 89855 14
e 32513 98756 14
e 37018 39563 14
e 64725 78379 14
e 27996 28513 14
e 25614 74614 14
e 74154 92925 14
e 13199 17984 14
e 208 4932 14
e 17036 24708 14
e 24592 98213 14
e 39682 87483 14
e 32337 92624 14
e 2373 60802 14
e 52637 55292 14
e 49327 62808 14
e 51893 54857 14
e 22880 52005 14
e 38897 53475 14
e 64927 88204 14
e 574 3968 14
e 7381 62255 14
e 92353 99440 14
e 13968 91560 14
e 3361 24783 14
e 13301 24722 14
e 12665 94879 14
e 34248 74642 14
e 9033 64433 14
e 24952 46001 14
e 11478 65793 14
e 64407 73731 14
e 88076 95035 14
e 92451 97227 14
e 22277 47661 14
e 37287 88738 14
e 62300 66512 14
e 12509 42327 14
e 31205 86036 14
e 44040 79125 14
e 13128 77100 14
e 67720 95128 14
e 25781 91111 14
e 75583 92912 14
e 87446 97088 15
e 2521 65471 15
e 18207 32005 15
e 54675 97324 15
e 87608 87743 15
e 22506 84027 15
e 26572 28631 15
e 1829 42577 15
e 84266 96234 15
e 52052 87565 15
e 74713 82241 15
e 80620 91395 15
e 20993 47890 15
e 35777 98652 15
e 75832 88346 15
e 38847 58426 15
e 35468 53976 15
e 87149 91332 15
e 15621 59793 15
e 18177 99753 15
e 14695 99179 15
e 16519 23108 15
e 79699 99112 15
e 44064 81700 15
e 4995 35031 15
e 11377 19976 15
e 27900 55590 15
e 39506 88022 15
e 54498 66061 15
e 21767 65185 15
e 7522 73421 15
e 4308 78085 15
e 713 54315 15
e 9478 24349 15
e 5247 55770 15
e 929 46968 15
e 56090 86434 15
e 4440 92126 15
e 5748 34904 15
e 2726 19310 15
e 81056 87641 15
e 67066 71645 15
e 4402 63120 15
e 41752 77552 15
e 56945 70994 15
e 18264 79102 15
e 28788 29974 15
e 56228 86686 15
e 35513 51804 15
e 54699 86761 15
e 3720 22720 15
e 16463 48922 15
e 15012 83192 15
e 24497 78909 15
e 551 49588 15
e 50967 70795 15
e 19181 81198 15
e 22477 41600 15
e 5467 43328 15
e 75876 88592 15
e 10690 89665 15
e 6604 29685 15
e 76201 77794 15
e 7914 39911 15
e 82481 87417 15
e 58031 76121 15
e 15557 54362 15
e 18558 80699 15
e 38518 50827 15
e 5496 55464 15
e 38412 45047 15
e 15396 40296 15
e 5378 81589 15
e 35490 73968 15
e 13807 77988 15
e 6196 25796 15
e 77956 99699 15
e 33048 81384 15
e 39714 65592 15
e 26377 72166 16
e 20891 84359 16
e 48060 76652 16
e 59655 64714 16
e 52047 95342 16
e 48216 90146 16
e 9462 61312 16
e 11275 96788 16
e 2837 71740 16
e 44579 61265 16
e 2672 18728 16
e 33130 61631 16
e 2030 63088 16
e 17044 62314 16
e 63116 81512 16
e 60726 98787 16
e 8400 18675 16
e 10320 53753 16
e 81636 88637 16
e 28100 60209 16
e 46512 53144 16
e 19972 39856 16
e 15540 85466 16
e 17132 17267 16
e 28639 75259 16
e 11886 35323 16
e 88742 91768 16
e 82555 94467 16
e 26033 74779 16
e 12292 61314 16
e 12630 55153 16
e 41493 74767 16
e 5947 40050 16
e 1686 60536 16
e 3747 68008 16
e 14671 47830 16
e 4602 70223 16
e 65769 80518 16
e 43932 85121 16
e 15351 47933 16
e 7142 73176 16
e 43768 44811 16
e 10238 27331 16
e 40627 78310 16
e 31249 89983 16
e 5916 81082 16
e 2833 35895 16
e 18045 51432 16
e 10247 67980 16
e 7229 51752 16
e 13570 79774 16
e 33122 42857 16
e 21511 67181 16
e 27678 39609 16
e 14767 32779 16
e 41426 60002 16
e 15770 93405 16
e 8122 90207 16
e 29335 66338 16
e 29631 47940 16
e 42216 89566 16
e 90202 92887 16
e 10027 11714 16
e 36396 82303 16
e 45381 69042 16
e 854 45297 16
e 63328 72591 16
e 70436 99286 16
e 7977 27574 16
e 17476 39657 16
e 13423 19913 16
e 17147 18158 16
e 47537 63146 16
e 43586 71785 16
e 59355 81469 16
e 51544 82159 16
e 26159 95867 16
e 29831 43179 16
e 43695 58233 16
e 51135 60055 16
e 19617 67975 16
e 81897 90409 16
e 59225 95381 16
e 3133 83909 16
e 10734 93373 16
e 32785 77661 16
e 11313 60833 16
e 5456 20385 16
e 30375 44039 16
e 12856 30446 16
e 33741 84222 16
e 16065 52634 16
e 40803 77728 16
e 2783 61532 16
e 5318 5995 16
e 30113 88267 17
e 85022 95171 17
e 23863 45028 17
e 11354 90556 17
e 13061 95222 17
e 334 87079 17
e 16869 99796 17
e 40758 47018 17
e 2129 76069 17
e 58545 92632 17
e 57632 80171 17
e 28207 32292 17
e 43549 68817 17
e 59538 88055 17
e 24700 32786 17
e 3999 10141 17
e 18787 36797 17
e 1166 78198 17
e 47755 59338 17
e 7824 9285 17
e 21351 34504 17
e 66332 73998 17
e 58789 72686 17
e 9067 36830 17
e 931 6650 17
e 58324 79274 17
e 67648 74203 17
e 6267 32726 17
e 24678 60394 17
e 24365 87988 17
e 62347 81103 17
e 4359 88747 17
e 50764 57932 17
e 33801 83231 17
e 15784 27055 17
e 1493 81600 17
e 30917 36734 17
e 5370 69081 17
e 66 17255 17
e 48742 57686 17
e 67908 69553 17
e 1251 35509 17
e 14951 41123 17
e 34538 61364 17
e 41740 78003 17
e 18028 47764 17
e 44221 55192 17
e 10646 96486 17
e 80885 96090 17
e 24392 93356 17
e 12975 61698 17
e 28998 33089 17
e 32817 95603 17
e 34268 46376 17
e 35965 94256 17
e 40962 92837 17
e 11640 41177 17
e 28323 66000 17
e 30094 73423 17
e 20883 79436 17
e 55863 59971 17
e 5181 69425 17
e 2002 21304 17
e 45146 85428 17
e 19880 23536 17
e 17045 38760 17
e 88681 95869 17
e 18007 25404 17
e 6673 72158 17
e 10750 61280 17
e 49820 51208 17
e 52216 90404 17
e 11821 26966 17
e 49048 86800 17
e 74438 85377 17
e 7503 10375 17
e 14052 73342 17
e 12799 33902 17
e 69930 80094 17
e 20037 33526 17
e 66941 69310 17
e 62983 70412 17
e 35044 49194 17
e 42262 51420 17
e 38374 56334 17
e 46004 73580 17
e 39070 90787 17
e 33136 65314 17
e 71596 74159 17
e 3853 80048 17
e 23168 51242 17
e 81521 97040 17
e 51760 78018 17
e 16264 62441 17
e 8984 13194 17
e 16682 50998 17
e 12790 54765 17
e 65128 90030 18
e 24088 80409 18
e 31199 48432 18
e 54849 89823 18
e 31451 59019 18
e 8991 83870 18
e 56458 89653 18
e 28941 70942 18
e 44907 86741 18
e 14071 65211 18
e 21092 52993 18
e 36461 82082 18
e 39096 61669 18
e 11727 45282 18
e 39304 98447 18
e 6756 86637 18
e 6146 7929 18
e 16119 56497 18
e 33348 35119 18
e 14934 21672 18
e 24140 42047 18
e 62910 64895 18
e 31603 67356 18
e 13438 26128 18
e 32873 43854 18
e 8669 73278 18
e 24620 32456 18
e 30822 62214 18
e 62312 75349 18
e 50236 89437 18
e 27872 97552 18
e 36545 61100 18
e 7350 32219 18
e 12840 39170 18
e 30177 33942 18
e 9551 79683 18
e 11810 76217 18
e 79008 90251 18
e 215 30846 18
e 1784 99486 18
e 34039 34466 18
e 13174 13442 18
e 29831 57205 18
e 47255 92767 18
e 43059 47763 18
e 57210 84364 18
e 79190 82500 18
e 1484 97243 18
e 66760 97496 18
e 52344 55744 18
e 45098 88782 18
e 73601 86335 18
e 15793 37272 18
e 13759 57895 18
e 45258 49100 18
e 48235 57976 18
e 40714 55637 18
e 25022 31344 18
e 54894 59717 18
e 21530 61903 18
e 76462 77247 18
e 48768 79402 18
e 31345 65286 18
e 87020 99690 18
e 33272 88164 18
e 42958 86044 18
e 43956 69229 18
e 28553 83398 18
e 4511 76310 18
e 41990 62967 18
e 62684 95154 18
e 42679 60495 18
e 3339 54893 18
e 7684 21431 18
e 6867 89335 18
e 39342 79445 18
e 46221 70375 18
e 14080 30713 18
e 19657 65468 18
e 11843 75358 18
e 45712 53916 18
e 62747 77057 18
e 66336 68680 18
e 60342 99035 18
e 59648 97735 18
e 32402 46982 18
e 78962 99750 18
e 48449 87924 18
e 62126 62835 18
e 64175 77996 18
e 68295 75382 18
e 63543 73019 18
e 51204 68642 18
e 18824 94141 18
e 71926 88262 18
e 54662 80955 18
e 49861 77351 18
e 16844 89900 18
e 63494 92656 18
e 69831 79839 18
e 13557 44700 18
e 2308 91929 18
e 36301 79156 18
e 46369 54494 18
e 14039 16057 18
e 50029 71589 18
e 69851 80545 18
e 8046 87711 18
e 22776 66774 18
e 18029 41658 18
e 2820 58934 18
e 78498 81098 19
e 33122 36334 19
e 78369 98430 19
e 9108 22078 19
e 5552 89426 19
e 78599 84550 19
e 28526 39402 19
e 10287 82188 19
e 90673 91227 19
e 7500 81485 19
e 16539 24827 19
e 71580 91476 19
e 92681 96104 19
e 57528 73736 19
e 6066 7669 19
e 23940 28626 19
e 12368 96149 19
e 50185 58783 19
e 58789 79712 19
e 75199 84957 19
e 9110 36144 19
e 39061 66699 19
e 23075 98611 19
e 5509 37954 19
e 63610 97997 19
e 55845 85315 19
e 23584 82736 19
e 96008 98853 19
e 27537 73418 19
e 34752 35053 19
e 6215 42680 19
e 6070 83629 19
e 9444 24641 19
e 27525 63226 19
e 673 49536 19
e 30741 73152 19
e 7069 73578 19
e 52707 84236 19
e 39101 41066 19
e 33756 61493 19
e 3582 25967 19
e 69362 85923 19
e 2636 68213 19
e 34855 39467 19
e 18054 48682 19
e 63538 67591 19
e 59811 60369 19
e 19348 99800 19
e 32604 94701 19
e 75159 78082 19
e 14310 23224 19
e 68423 95069 19
e 13785 51331 19
e 62398 63613 19
e 3330 37060 19
e 44746 96507 19
e 11157 18703 19
e 30818 51793 19
e 74372 95929 19
e 33951 96204 19
e 2273 80921 19
e 6069 12834 19
e 55222 95086 19
e 63089 63256 19
e 16515 29372 19
e 9470 40823 19
e 5811 77042 19
e 4039 46366 19
e 38855 39929 19
e 28104 71357 19
e 64922 94409 19
e 48674 55833 19
e 44309 48293 19
e 36289 50668 19
e 38858 77078 19
e 41638 95044 19
e 60823 65594 19
e 34873 89142 19
e 31183 52787 19
e 45880 77697 19
e 69377 98137 19
e 28058 29098 19
e 13092 56932 19
e 58259 72310 19
e 15962 68259 19
e 69000 97774 19
e 86811 88012 19
e 53736 94207 19
e 15311 19165 19
e 39049 57738 19
e 53855 79099 19
e 24271 47804 19
e 39388 97285 19
e 29630 90143 19
e 70941 85722 19
e 10287 37294 19
e 4730 74747 19
e 55580 84258 19
e 7222 72933 19
e 7958 62378 19
e 62952 83361 19
e 80368 91838 19
e 89093 90105 19
e 23495 96904 19
e 4556 66101 19
e 72452 74557 19
e 5773 13618 19
e 4135 25715 19
e 12636 85547 19
e 68237 77741 19
e 35004 86317 19
e 41618 69365 19
e 8894 88109 19
e 35250 38565 19
e 51918 53632 19
e 41427 42273 19
e 14508 37238 19
e 37904 56059 19
e 46282 64701 19
e 17591 94585 19
e 55551 81906 19
e 35553 59087 19
e 28603 32016 19
e 4931 87938 19
e 35882 84851 19
e 48091 66164 19
e 65970 76207 20
e 629 1267 20
e 3706 72947 20
e 4433 26110 20
e 26220 74589 20
e 60843 94780 20
e 24956 95919 20
e 10292 14866 20
e 17461 47884 20
e 15564 57708 20
e 86451 99896 20
e 37718 84852 20
e 1028 35243 20
e 5952 97421 20
e 6135 98088 20
e 7620 98885 20
e 20927 99717 20
e 40379 77311 20
e 40345 80864 20
e 33814 89596 20
e 64511 70193 20
e 64646 90881 20
e 16162 84279 20
e 10772 87876 20
e 49663 79829 20
e 60853 63493 20
e 40892 65784 20
e 65277 81719 20
e 64277 71430 20
e 29562 87024 20
e 6643 77323 20
e 74075 90804 20
e 19332 47362 20
e 72604 78667 20
e 44967 50477 20
e 81485 97147 20
e 46058 58848 20
e 72996 89342 20
e 59165 83229 20
e 35848 67776 20
e 24755 93219 20
e 87895 91138 20
e 64055 77573 20
e 5905 67277 20
e 56121 81833 20
e 17085 33746 20
e 50067 61363 20
e 35380 46043 20
e 61170 99787 20
e 77472 85213 20
e 27999 61316 20
e 25046 79636 20
e 44161 57490 20
e 13005 91846 20
e 1334 75932 20
e 23550 83584 20
e 2550 60010 20
e 26939 57785 20
e 28730 63123 20
e 36877 75435 20
e 53292 72013 20
e 23418 98107 20
e 75374 94608 20
e 49005 96945 20
e 41874 63655 20
e 45867 72101 20
e 27777 27878 20
e 13130 15353 20
e 12294 36046 20
e 41747 56847 20
e 35978 83091 20
e 30858 69932 20
e 85382 95285 20
e 6802 66061 20
e 1225 70333 20
e 31235 98872 20
e 31764 32724 20
e 50534 83617 20
e 45291 47547 20
e 44122 72340 20
e 24730 99404 20
e 15343 65529 20
e 25970 93233 20
e 27590 80568 20
e 14333 90702 20
e 19993 33963 20
e 53690 64516 20
e 1093 43927 20
e 67471 81747 20
e 24037 31302 20
e 41804 47807 20
e 19917 27474 20
e 20303 94944 20
e 38711 85402 20
e 10900 40318 20
e 2015 88463 20
e 39616 51507 20
e 15270 70545 20
e 36549 71395 20
e 17413 46046 20
e 48032 80942 20
e 57047 82124 20
e 1900 18333 20
e 8327 46640 20
e 23737 98154 20
e 55528 59812 20
e 9155 51001 20
e 27175 33680 20
e 43136 76241 20
e 15205 98000 20
e 24709 66385 20
e 67729 99340 20
e 69668 74003 20
e 22098 61038 20
e 11995 42660 20
e 3173 16100 20
e 23648 81534 20
e 49732 94957 20
e 30599 89233 20
e 55997 80683 20
e 58325 88482 20
e 55568 93795 20
e 19436 44804 20
e 25131 59921 20
e 20248 25339 20
e 3062 96668 20
e 72062 75476 20
e 88748 92301 20
e 32525 89604 20
e 40051 88913 20
e 92791 98426 20
e 37863 79169 20
e 1261 57765 20
e 27252 32903 20
e 8541 17275 20
e 3191 50721 20
e 70853 71725 21
e 82088 89700 21
e 13694 97104 21
e 6361 21975 21
e 8969 39281 21
e 20990 32392 21
e 1485 47713 21
e 20172 43837 21
e 5589 87150 21
e 56008 79665 21
e 36724 66493 21
e 56464 77579 21
e 51570 54128 21
e 51818 56819 21
e 37238 96390 21
e 27432 93251 21
e 13889 25411 21
e 66180 79824 21
e 35305 39933 21
e 16037 26727 21
e 28760 95722 21
e 70693 70943 21
e 1507 52016 21
e 10562 49964 21
e 16482 23472 21
e 16299 71119 21
e 68393 87283 21
e 13084 85557 21
e 24205 36792 21
e 32807 43510 21
e 21710 26880 21
e 4248 81564 21
e 25782 31227 21
e 16220 91532 21
e 34276 68467 21
e 65116 68886 21
e 6517 83104 21
e 48833 60338 21
e 8499 95572 21
e 62802 69034 21
e 65450 66888 21
e 6071 71835 21
e 29751 68799 21
e 5912 36980 21
e 3979 85906 21
e 38371 55528 21
e 15449 81691 21
e 5117 37896 21
e 26137 97128 21
e 18436 39892 21
e 35457 44099 21
e 70200 91338 21
e 3971 64289 21
e 35343 74529 21
e 30380 97368 21
e 48979 57875 21
e 46004 67139 21
e 63653 97350 21
e 957 81664 21
e 30385 76107 21
e 3731 33722 21
